Person,Date,Hours,Description
frau,03.01.2018,2h,"Work Communication with SB"
frau,05.01.2018,1.5h,"Implemented basic mappings to SB"
frau,06.01.2018,3h,"Implemented basic user search and movie search"
mwol,08.01.2018,3h,"styled the movie-list-component, implemented slick carousel"
mwol,12.01.2018,6h,"Added HeaderComponent, FooterComponent, HomeComponent, Frontend styling for user search, Usercards have now list links, that link to movie-list and display the userid"
frau,14.01.2018,3h,"Work on movieDetails, movie search performance, work on cast/actor"
mwol,14.01.2018,3h,"Unified movie-search and user-search to universal search-component"
mwol,15.01.2018,3h,"added Addmovietolist functionality"
frau,15.01.2018,4h,"Work on create movie list"
mwol,17.01.2018,3h,"Styling for movielist, edited movielist-detail"
frau,17.01.2018,4h,"Implemented create movie list, work on User registration"
mwol,19.01.2018,4h,"Edited search and movie-list component, added trailers to movie-detail"
frau,19.01.2018,5h,"Work on login / registration"
mwol,20.01.2018,4.5h,"implemented movie-listing for user, add movie to list, remove movie from list, delete list, reorganized movie-list-component"
